Date,Close,High,Low,Open,Volume,OC_Change,OC_Direction,High_Low_Range,Intraday_Volatility_%,Volume_Change_%
2000-01-03,0.8392808437347412,0.843498106526373,0.7624286672281552,0.7863279579344354,535796800,0.05295288580030577,Bullish,0.08106943929821786,9.659393503784086,
2000-01-04,0.7685208320617676,0.8294395791039839,0.7586798210785961,0.8116326908754726,512377600,-0.04311185881370505,Bearish,0.07075975802538781,9.207266097856499,-4.370910763184854
2000-01-05,0.7797669172286987,0.8289711831558944,0.7722696339123498,0.7778925838863705,778321600,0.0018743333423282271,Bullish,0.056701549243544536,7.271602319967939,51.90390836757892
2000-01-06,0.7122869491577148,0.8022602282004527,0.7122869491577148,0.7957000884976456,767972800,-0.08341313933993078,Bearish,0.08997327904273789,12.63160572422842,-1.3296303224785255
2000-01-07,0.746027410030365,0.7572742100950559,0.7160366272483127,0.7235339100069036,460734400,0.0224935000234614,Bullish,0.04123758284674317,5.5276230192486775,-40.006416893931664
2000-01-10,0.7329062223434448,0.7666456667218751,0.7104127255263246,0.7647713337861646,505064000,-0.03186511144271975,Bearish,0.056232941195550445,7.672597050103813,9.621508617546247
2000-01-11,0.6954174041748047,0.74509026181257,0.6785477047577722,0.7193166914270787,441548800,-0.02389928725227397,Bearish,0.06654255705479784,9.568721843215656,-12.575673578002
2000-01-12,0.6537111401557922,0.7160364721357444,0.6485558865775317,0.7122869556418895,976068800,-0.05857581548609725,Bearish,0.06748058555821268,10.322691692561753,121.0557021103896
2000-01-13,0.7254081964492798,0.7404036129348466,0.6935430803197119,0.7084209224010922,1032684800,0.01698727404818756,Bullish,0.046860532615134676,6.459884633852651,5.800410790714761
2000-01-14,0.7530563473701477,0.7666459799611373,0.7450904666783615,0.749776275905708,390376000,0.00328007146443976,Bullish,0.021555513282775718,2.862403770720838,-62.19795236649169
2000-01-18,0.7792982459068298,0.7947630576451566,0.7530560817522902,0.7572741444537661,459177600,0.02202410145306377,Bullish,0.04170697589286643,5.351863180999995,17.624444125663462
2000-01-19,0.798980176448822,0.8153813269245683,0.7750808938368537,0.7919506400314014,597643200,0.0070295364174206565,Bullish,0.04030043308771458,5.0439841031895725,30.155129518513093
2000-01-20,0.8509958982467651,0.9109774477720004,0.8509958982467651,0.8659912606016005,1831132800,-0.01499536235483534,Bearish,0.05998154952523527,7.048394668976687,206.39230898971158
2000-01-21,0.8345948457717896,0.8566189971768563,0.8261595713077537,0.8566189971768563,495924800,-0.02202415140506675,Bearish,0.030459425869102552,3.6496062758373826,-72.91704894369214
2000-01-24,0.7966373562812805,0.8453721655045664,0.7882020320899191,0.8130384579047755,440876800,-0.01640110162349495,Bearish,0.05717013341464727,7.176431404311572,-11.100070010614516
2000-01-25,0.8416234254837036,0.8481844661908706,0.7675836012113953,0.7872648213208211,497145600,0.05435860416288252,Bullish,0.08060086497947527,9.576832409714807,12.7629305964841
2000-01-26,0.8261594772338867,0.8561503039167713,0.8228794573678758,0.8247537401333249,367158400,0.0014057371005617991,Bullish,0.03327084654889545,4.027169991475681,-26.146706317022616
2000-01-27,0.824753999710083,0.8472475522517698,0.802260497221362,0.8158501276863886,340144000,0.00890387202369436,Bullish,0.044987055030407896,5.45460283262909,-7.357696296748218
2000-01-28,0.761959969997406,0.8313140526560007,0.7544626872193864,0.8111642824445364,423348800,-0.049204312447130416,Bearish,0.0768513654366143,10.08601087493821,24.461639776094835
2000-01-31,0.7778922915458679,0.7788294828913072,0.7085382800243917,0.757273981840314,701680000,0.020618309705553894,Bullish,0.07029120286691548,9.036109964173724,65.74512553242148
2000-02-01,0.7516502737998962,0.7872649030262232,0.7497759908638814,0.779766770223073,318035200,-0.028116496423176707,Bearish,0.03748891216234185,4.987547197025584,-54.67517956903431
2000-02-02,0.7408719658851624,0.7657083868965548,0.7272822912497426,0.7553996326926437,464195200,-0.014527666807481299,Bearish,0.03842609564681221,5.186604084945007,45.95717706719255
2000-02-03,0.7746123671531677,0.7816419037428499,0.7516502253631562,0.7521188210934405,475193600,0.0224935460597272,Bullish,0.029991678379693743,3.871830563449208,2.3693480673647738
2000-02-04,0.8097584843635559,0.824753849643114,0.7769553282238356,0.7792982570711631,425320000,0.03046022729239284,Bullish,0.04779852141927843,5.902812053503401,-10.49542754784576
2000-02-07,0.8552135229110718,0.8566193107392426,0.7942947489796821,0.8097587654603783,441067200,0.045454757450693495,Bullish,0.06232456175956047,7.287602462998145,3.702435813034888
2000-02-08,0.8613057136535645,0.8706772292851623,0.8341263562459356,0.8547446716734484,408643200,0.006561041980116089,Bullish,0.03655087303922677,4.243658489641497,-7.351260760265099
2000-02-09,0.8444348573684692,0.878175148414769,0.8430291704092051,0.8556816544192004,299364800,-0.011246797050731172,Bearish,0.03514597800556385,4.1620709636608355,-26.74176396426027
2000-02-10,0.8509958982467651,0.8538073722728378,0.8247536887816486,0.8463100414660483,302982400,0.004685856780716868,Bullish,0.029053683491189197,3.4140803206039,1.2084253058475714
2000-02-11,0.8153812885284424,0.8556816696654708,0.811632623060456,0.8519330041974844,212251200,-0.03655171566904203,Bearish,0.04404904660501474,5.4022636065775025,-29.946029868401602
2000-02-14,0.8683345317840576,0.8688031276847171,0.8144444515661577,0.8195988563145039,367539200,0.04873567546955371,Bullish,0.05435867611855938,6.260107611622384,73.16236610205267
2000-02-15,0.8922335505485535,0.8992630875422613,0.8636485086169481,0.8641171043741652,485744000,0.028116446174388243,Bullish,0.03561457892531317,3.9916206808651156,32.1611409068747
2000-02-16,0.8556817770004272,0.8856734069420027,0.8406864125062257,0.8828611316675569,378246400,-0.027179354667129618,Bearish,0.04498699443577703,5.257444489875419,-22.13050495734379
2000-02-17,0.8613057136535645,0.8659914714693634,0.8481846307525135,0.863648592561464,289497600,-0.002342878907899526,Bearish,0.017806840716849903,2.0674239627780056,-23.463223972521618
2000-02-18,0.8341261148452759,0.865054029512469,0.8313137900482109,0.859431081718455,233441600,-0.02530496687317907,Bearish,0.03374023946425808,4.044980592714885,-19.363200247601362
2000-02-22,0.8533388376235962,0.8767695246856928,0.7999173236006879,0.825690939220733,422296000,0.02764789840286319,Bullish,0.0768522010850049,9.0060592225036,80.90006237105982
2000-02-23,0.8716143369674683,0.8922335513629271,0.832251092054398,0.8490041161580384,473099200,0.02261022080942987,Bullish,0.05998245930852919,6.881766024778909,12.03023471688105
2000-02-24,0.8637650609016418,0.8931705650301038,0.8378747249969355,0.8795808903407447,376432000,-0.01581582943910287,Bearish,0.05529584003316834,6.401722243250697,-20.432754906370587
2000-02-25,0.8275654315948486,0.8772383425794562,0.8256911483373448,0.860837187831664,249144000,-0.03327175623681533,Bearish,0.051547194242111405,6.228775668260075,-33.81434096994942
2000-02-28,0.8491214513778687,0.8622425300932257,0.8125697390985281,0.8256908178138853,328328000,0.02343063356398334,Bullish,0.04967279099469757,5.849904146702874,31.78242301640819
2000-02-29,0.8594315648078918,0.8791127941028302,0.8439667979343833,0.8514648333528905,368961600,0.007966731455001375,Bullish,0.035145996168446825,4.0894467468509825,12.375916766160678
